,AgencyName,OrgType,Population,City,State,International,firecares_id,,,,
192,Regina Fire & Protective Services,Career,223000,Regina,SK,TRUE,,,,,
193,Santa Clara County Fire Department,Combination,226700,Los Gatos,CA,FALSE,94383,,,,
194,Scott AFB Fire & Emergency Services,DoD,43000,Scott AFB,IL,FALSE,94575,,,,
195,Searcy Fire Department,Combination,23983,Searcy,AR,FALSE,94640,,,,
196,City of Maryville Fire Department,Combination,28464,Maryville,TN,FALSE,88013,,,,
197,Bristol Tennessee Fire Department,Career,26702,Bristol,TN,FALSE,75811,,,,
198,Shawnee Fire Department,Career,67500,Shawnee,KS,FALSE,94870,,,,
199,Sioux City Fire Rescue,Career,82517,Sioux City,IA,FALSE,95154,,,,
200,Sioux Falls Fire Rescue,Career,178500,Sioux Falls,SD,FALSE,95155,,,,
201,Skokie Fire Department,Career,64784,Skokie,IL,FALSE,95202,,,,
202,Sheppard Fire Emergency Services,DoD,23000,Sheppard AFB,TX,FALSE,94956,,,,
203,Spartanburg Fire Department,Career,37867,Spartanburg,SC,FALSE,95744,,,,
204,Southlake Fire Department,Career,28334,Southlake,TX,FALSE,95683,,,,
205,NAS Corpus Christi Fire and Emergency Services,DoD,12018,Corpus Christi,TX,FALSE,89637,,,,
206,Spokane Valley Fire Department,Career,122085,Spokane Valley,WA,FALSE,95805,,,,
207,Springfield Fire Department,Career,159498,Springfield,MO,FALSE,95870,,,,
208,St. Tammany Fire Protection District No. 1,Career,88717,Slidell,LA,FALSE,94142,,,,
209,Navy Region Mid-Atlantic Fire & Emergency Services,DoD,187289,Norfolk,VA,FALSE,100249,,,,
210,Fort Lee Fire & Emergency Services Divison,DoD,29930,Fort Lee,VA,FALSE,81780,,,,
211,Statesville Fire Department,Career,26506,Statesville,NC,FALSE,96091,,,,
212,Tampa Fire Rescue,Career,352957,Tampa,FL,FALSE,96654,,,,
213,Hampton Division of Fire & Rescue,Combination,137436,Hampton,VA,FALSE,83501,,,,
214,Temple Terrace Fire Department,Career,26000,Temple Terrace,FL,FALSE,96750,,,,
215,Toledo Fire and Rescue Department,Career,287000,Toledo,OH,FALSE,97047,,,,
216,Quantico Fire and Emergency Services,DoD,28376,Quantico,VA,FALSE,92848,,,,
217,"Joint Base Langley Eustis, Ft Eustis Fire & Emergency Services",DoD,19750,Fort Eustis,VA,FALSE,81759,,,,
218,JBLE-Langley Fire Emergency Services,DoD,39154,Langley AFB,VA,FALSE,86328,,,,
219,City of Roanoke Fire-EMS Department,Career,99000,Roanoke,VA,FALSE,93547,,,,
220,Town of Mount Pleasant Fire Department,Career,82000,Mount Pleasant,SC,FALSE,97183,,,,
221,Navy Region Northwest Fire & Emergency Services,DoD,67000,Silverdale,WA,FALSE,,,,,
222,Travis AFB Emergency Services,DoD,26000,Travis AFB,CA,FALSE,97298,,,,
223,Village of Pinehurst Fire Department,Career,17642,Pinehurst,NC,FALSE,92098,,,,
224,NSA Souda Bay Fire and Emergency Services,DoD,,,Crete,TRUE,,,,,
225,Virginia Beach Fire Department,Combination,437994,Virginia Beach,VA,FALSE,98190,,,,
226,Puget Sound Regional Fire Authority,Career,175397,Kent,WA,FALSE,85612,,,,
227,Vista Fire Department,Career,115569,Vista,CA,FALSE,98198,,,,
228,NWS Seal Beach Fire & Emergency Services,DoD,5000,Seal Beach,CA,FALSE,100250,,,,
229,Wauwatosa Fire Department,Career,47134,Wauwatosa,WI,FALSE,98703,,,,
230,West Allis Fire Department,Career,60329,West Allis,WI,FALSE,98911,,,,
231,West Des Moines Fire Department,Combination,63541,West Des Moines,IA,FALSE,98971,,,,
232,Westmont Fire Department,Combination,24685,Westmont,IL,FALSE,99267,,,,
233,Offutt AFB Fire & Emergency Services,DoD,12000,Offutt AFB,NE,FALSE,100251,,,,
234,Westover Fire Emergency Services,DoD,5000,Chicopee,MA,FALSE,99282,,,,
235,Wilmette Fire Department,Career,27081,Wilmette,IL,FALSE,99671,,,,
236,Wilmington Fire Department,Career,113657,Wilmington,NC,FALSE,99672,,,,
237,Wilson Fire/Rescue Services,Career,49628,Wilson,NC,FALSE,99695,,,,
238,Yocha Dehe Fire Department,Career,11000,Brooks,CA,FALSE,100134,,,,
,Naval Base Kitsap Keyport,,,,,,100254,,,,
,Naval Air Station Whidbey Island - Audit Field,,,,,,100255,,,,
,Naval Base Kitsap Bremerton,,,,,,100256,,,,
,Naval Base Kitsap Bangor,,,,,,100257,,,,
,Naval Base Kitsap Jackson Park,,,,,,100258,,,,
,Naval Magazine Indian Island,,,,,,100259,,,,
,Naval Station Everett,,,,,,100260,,,,
,Naval Air Station Whidbey Island - Sea Plane Base,,,,,,100261,,,,
